,tweets,time
35,Je suis vraiment amoureuse de ce personnage 😍 Coup de coeur de l'année 2022 je pense XD! #HouseOfTheDragon #HOTD https://t.co/kxIlouM2Pm,2022-09-22 07:45:39+00:00
36,"#HouseOfTheDragon men fancam

#hotd #HouseOfTheDragonHBO #CristonCole #DaemonTargaryen #CorlysVelaryon #OttoHightower #harwinstrong #larysstrong #mattsmith #fabienfrankel #rhysifans https://t.co/KBgTCw1FFJ",2022-09-22 07:45:38+00:00
37,Ho come l'impressione che i prossimi due episodi di #HOTD mi devasteranno e non poco,2022-09-22 07:43:43+00:00
38,Are you ready for #DaemonTargaryen as a girl dad? #HouseOfTheDragon #hotd #HouseOfTheDragonHBO,2022-09-22 07:41:55+00:00
39,About the promotional photos HBO releases — Too many? Just right? Not enough? #HouseOfTheDragon #hotd #HouseOfTheDragonHBO,2022-09-22 07:40:28+00:00
40,"#HOTD spoilers for Sunday - little Helaena Targaryen is a bug girl! 💜🐛  It's not just distance between her and Alicent, but a bug collection, including beetles, leaf insects, &amp; a scorpion. And Helaena's holding a giant millipede! An adorable and fascinating adaptational choice. https://t.co/zPdc73REXY",2022-09-22 07:38:27+00:00
41,Which Cargyll twin do you like more? SPOILER WARNING: Do not Google if you don’t already know who these are. #HouseOfTheDragon #hotd #HouseOfTheDragonHBO,2022-09-22 07:36:58+00:00
42,not queer enough apparently #hotd https://t.co/qxg4VFR3Ti,2022-09-22 07:31:26+00:00
43,"I for one can't wait to meet older Rhaenyra. You don't understand how I'd loved her vibes even before she appeared onscreen. 

#RhaenyraTargaryen #HOTD https://t.co/rVoD5llqL2",2022-09-22 07:30:59+00:00
44,Did #LaenaVelaryon fix #DaemonTargaryen ? #HouseOfTheDragon #hotd #HouseOfTheDragonHBO,2022-09-22 07:30:12+00:00
45,Pentos ? #HOTD https://t.co/kGRNDLW14P,2022-09-22 07:28:22+00:00
46,#HouseOfTheDragon #hotd #HouseOfTheDragonHBO #RhaenyraTargaryen #LaenorVelaryon https://t.co/Vgl8cekFIJ https://t.co/uTDYh5VYJW,2022-09-22 07:27:36+00:00
47,"Waiting for Sundays @HouseofDragon like...
#HouseOfTheDragon #HOTD https://t.co/eaRKoF1IvW",2022-09-22 07:24:49+00:00
48,are u guys lgbt or something #hotd https://t.co/GLG7U9fagB,2022-09-22 07:23:07+00:00
49,"New photo of young Alicent Hightower.
#HouseOfTheDragon #HouseOfTheDragonHBO #HoTD https://t.co/PUUjbcgaiK",2022-09-22 07:22:42+00:00
50,New photo of young Rhaenyra Targaryen. #HouseOfTheDragon #HouseOfTheDragonHBO #HoTD https://t.co/CogqJblHcr,2022-09-22 07:18:16+00:00
51,"If so evil, then why so hot 😩 #HouseOfTheDragon #HOTD https://t.co/zdMDMPMbth",2022-09-22 07:11:45+00:00
52,"Somewhere, Daemon's giving Caraxes a very enthusiastic thumbs up. #HouseOfTheDragon #caraxes #syrax #GameOfThrones #HOTD #DaemonTargaryen  #RhaenyraTargaryen https://t.co/gKhE0eLUKW",2022-09-22 07:10:13+00:00
53,"Laena Velaryon

#HouseOfTheDragon #HOTD
. https://t.co/8p7HNvrln1",2022-09-22 07:07:54+00:00
54,"Laena is beautiful
#HOTD https://t.co/0PpbtC7f99",2022-09-22 06:58:05+00:00
55,"My middle child. I joke she is my little dragon, but this side by side is crazy. Oh Callie.  #HouseOfTheDragon #HouseTargaryen #hotd @MillyAlcock https://t.co/w9dr0g2lr3",2022-09-22 06:57:49+00:00
56,3 days left #hotd  … https://t.co/rPz5DIlEZI,2022-09-22 06:51:31+00:00
